Player Role,Player Type,Player Name,Hand,JerseyNumber,Aggression,Consistency,Economy,Incisiveness
Batsman,Top Order Batsman,D.Warner,Left,31,60,55,15,15
Allrounder,Fast Allrounder,M.Marsh,Right,8,55,40,30,40
Batsman,Top Order Batsman,S.Smith,Right,49,40,80,10,15
Wicketkeeper,Wicketkeeper,A.Carey,Left,4,70,40,0,0
Batsman,Middle Order Batsman,M.Labuschagne,Left,33,40,80,10,15
Allrounder,Spin Allrounder,G.Maxwell,Right,32,80,55,20,50
Allrounder,Fast Allrounder,M.Stoinis,Right,17,75,45,15,5
Bowler,Pace Bowler,M.Starc,Left,56,30,30,65,50
Bowler,Spin Bowler,A.Zampa,Right,43,40,10,40,70
Bowler,Pace Bowler,P.Cummins,Right,30,60,10,65,50
Bowler,Pace Bowler,J.Hazelwood,Right,38,25,10,95,60
